"","u_number","sex","race","age","high_school","full_part","city","stat_code","zip","pell_grant","camp_code","major","hours_attempted","hours_earned","mc_gpa","pass_engl","pass_math","term_year","summer2","fall"
"3760","20200012","M","Foreign","18 - 20","Out of State High School","FT","Germantown","MD","20876","N","G","Broadcast Media",17,17,4,"Y","N","2021","N","Y"
"3761","20200013","M","Black / African Am.","18 - 20","DISTRICT OF COLUMBIA HS","FT","Washington","DC","20019","Y","T","General Studies",12,6,2.5,"N","N","2021","N","Y"
"3762","20200014","F","Foreign","18 - 20","Unknown","PT","Germantown","MD","20874","N","G","General Studies",5,0,0,"N","N","2021","N","Y"
"3763","20200015","M","Asian","18 - 20","Watkins Mill High School","FT","Montgomery Village","MD","20886","Y","G","Computer Science",13,9,3.67,"Y","N","2021","N","Y"
"3764","20200016","F","White","18 - 20","Walt Whitman High School","PT","Bethesda","MD","20817","N","R","International Studies",10,3,1,"N","N","2021","N","Y"
"3765","20200017","F","Black / African Am.","18 - 20","G. E. D.","PT","Silver Spring","MD","20905","Y","R","Science",6,6,3,"N","N","2021","N","Y"
"3766","20200018","F","Hispanic","18 - 20","Colonel Zadok Magruder HS","FT","Ashton","MD","20861","Y","R","General Studies",14,0,0,"N","N","2021","N","Y"
"3767","20200019","F","White","18 - 20","Out of State High School","PT","Durham","CT","6422","N","R","Communication",3,3,3,"N","N","2021","N","Y"
"3768","20200020","F","Asian","< 18","Paint Branch High School","FT","Burtonsville","MD","20866","Y","G","Science",12,10,3.6,"Y","Y","2021","N","Y"
"3769","20200021","M","Asian","18 - 20","Springbrook Sr High School","FT","Takoma Park","MD","20912","Y","T","Criminal Justice",15,0,0,"N","N","2021","N","Y"
"3770","20200022","M","White","18 - 20","Paint Branch High School","PT","Ashton","MD","20861","N","R","Criminal Justice",11,9,3.33,"Y","Y","2021","N","Y"
"3771","20200023","M","White","18 - 20","Montgomery Blair High School","FT","Silver Spring","MD","20910","N","T","Business",13,13,2.77,"Y","Y","2021","N","Y"
"3772","20200024","F","Hispanic","18 - 20","Montgomery Blair High School","FT","Silver Spring","MD","20902","Y","T","Business",14,6,3.5,"Y","N","2021","N","Y"
"3773","20200025","F","Foreign","< 18","Northwood High School","PT","Silver Spring","MD","20901","N","T","General Studies",3,0,0,"N","N","2021","N","Y"
"3774","20200026","F","Hispanic","21 - 24","James Hubert Blake High School","PT","Silver Spring","MD","20904","N","T","Health Sciences",5,0,0,"N","N","2021","N","Y"
"3775","20200027","F","Hispanic","18 - 20","High Point Sr High School","PT","Takoma Park","MD","20912","Y","R","General Studies",3,3,1,"N","N","2021","N","Y"
"3776","20200028","F","Foreign","18 - 20","Northwood High School","PT","Silver Spring","MD","20904","N","R","Business",9,0,0,"N","N","2021","N","Y"
"3777","20200029","F","Black / African Am.","21 - 24","Watkins Mill High School","PT","Montgomery Village","MD","20886","N","R","General Studies",5,3,4,"N","Y","2021","N","Y"
"3778","20200030","M","Hispanic","18 - 20","Wheaton High School","PT","Silver Spring","MD","20902","N","R","Cybersecurity",8,6,1.5,"Y","N","2021","N","Y"
